word,score
absence,0
acceptable,0
accidentally,0
accommodate,0
achieve,0
acknowledge,0
acquaintance,0
acquire,0
acquit,0
acreage,0
across,0
address,0
adultery,0
advisable,0
affect,0
aggression,0
aggressive,0
allegiance,0
amateur,0
annually,0
apparent,0
arctic,0
argument,0
awful,0
beautiful,0
beginning,0
bellwether,0
benefit,0
buoy,0
buoyant,0
calendar,0
camouflage,0
capitol,0
caribbean,0
category,0
cemetery,0
changeable,0
chief,0
colleague,0
coming,0
committed,0
comparison,0
concede,0
congratulate,0
conscientious,0
conscious,0
consensus,0
controversy,0
coolly,0
deceive,0
definite,0
definitely,0
desperate,0
difference,0
dilemma,0
disappoint,0
disastrous,0
drunkenness,0
dumbbell,0
embarrass,0
equipment,0
exceed,0
exhilarate,0
existence,0
experience,0
extreme,0
fascinating,0
fiery,0
fluorescent,0
foreign,0
friend,0
fulfil,0
gauge,0
grateful,0
great,0
guarantee,0
guard,0
guidance,0
harass,0
height,0
hierarchy,0
humorous,0
hygiene,0
hypocrisy,0
ignorance,0
imitate,0
immediately,0
increment,0
decrement,0
indict,0
independent,0
indispensable,0
inoculate,0
intelligence,0
jewelry,0
judgment,0
kernel,0
leisure,0
liaison,0
library,0
license,0
lightning,0
lose,0
maintenance,0
marshmallow,0
medieval,0
memento,0
millennium,0
miniature,0
minuscule,0
mischievous,0
misspell,0
necessary,0
niece,0
neighbor,0
noticeable,0
occasion,0
occasionally,0
occurrence,0
occurred,0
omission,0
original,0
outrageous,0
parliament,0
pastime,0
perceive,0
perseverance,0
personnel,0
plagiarize,0
playwright,0
possession,0
potatoes,0
precede,0
presence,0
principle,0
privilege,0
professor,0
protester,0
promise,0
pronunciation,0
proof,0
prophecy,0
publicly,0
quarantine,0
queue,0
questionnaire,0
readable,0
really,0
receive,0
receipt,0
recommend,0
referred,0
reference,0
relevant,0
religious,0
repetition,0
restaurant,0
rhyme,0
rhythm,0
secretary,0
seize,0
separate,0
sergeant,0
similar,0
skilful,0
speech,0
successful,0
supersede,0
surprise,0
than,0
their,0
tomatoes,0
tomorrow,0
truly,0
twelfth,0
tyranny,0
underrate,0
until,0
upholstery,0
usable,0
vacuum,0
vehicle,0
vicious,0
weather,0
weird,0
welfare,0
whether,0
wilful,0
withhold,0
writing,0
